NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
30.9140,-16.40,-1.45,3.57,0.51,0.11,1.22
30.9960,3.26,-2.47,-4.16,0.89,0.16,0.35
31.0780,0.20,2.12,-0.47,0.21,0.42,-0.88
31.1600,-20.01,-5.37,-5.88,-0.31,1.86,-0.19
31.2420,-13.10,2.16,4.63,-0.42,-0.81,0.20
31.3240,-13.65,-4.24,2.75,0.15,-0.68,-0.23
31.4060,-5.18,-0.75,2.55,0.10,-0.20,0.44
31.4880,0.98,1.22,-0.24,-0.83,0.46,-0.04
31.5700,-11.18,2.31,2.31,-1.92,1.24,-0.58
31.6520,-17.06,-5.26,4.55,0.59,0.98,0.38
31.7340,-15.77,-3.73,6.08,1.12,-0.24,1.06
31.8160,3.18,2.24,-2.55,0.34,-0.27,0.32
31.8980,0.04,-0.20,0.20,0.32,0.52,-0.72
31.9800,-20.01,-3.96,3.57,-0.43,1.57,0.86
32.0620,-17.34,-0.24,4.55,-0.58,-1.75,-0.46
32.1440,-12.59,-5.33,2.75,0.25,-1.17,-0.67
32.2260,-0.63,-2.51,1.73,0.10,0.16,0.57
32.3080,1.45,2.12,0.39,-0.88,0.78,-0.11
32.3900,-17.85,1.18,7.26,-1.29,0.23,-1.51
32.4720,-17.26,-6.04,4.63,0.70,0.60,0.60
32.5540,-11.69,-3.49,3.77,1.11,-0.31,0.63
32.6360,2.24,3.84,-2.90,0.30,-0.23,0.05
32.7180,-0.78,-0.98,-1.26,0.11,0.89,-0.94
32.8000,-20.01,-1.33,-1.41,-0.03,0.23,1.05
